task,dataset,method,accuracy,avg_features,is_proposed
Binary,Adenocarcinoma,Proposed LR,1.00,50,yes
Binary,Adenocarcinoma,Proposed Stacking,1.00,50,yes
Binary,Adenocarcinoma,ILRC + SVM,0.95,,no
Binary,Adenocarcinoma,ILRC + NN,0.97,,no
Binary,Brain Tumor,Proposed LR,0.93,150,yes
Binary,Brain Tumor,Proposed Stacking,0.91,150,yes
Binary,Brain Tumor,IG-SGA,0.87,38,no
Binary,Brain Tumor,TRF-WGHC,0.90,4,no
Binary,Brain Tumor,Multidimensional GNN,0.78,,no
Binary,Brain Tumor,CEFS (Voting),0.90,34,no
Binary,Brain Tumor,KL-IBPSO-ELM,0.92,8,no
Binary,Brain Tumor,ILRC + SVM,0.83,,no
Binary,Brain Tumor,ILRC + NN,0.93,,no
Binary,Brain Tumor,Iso-GA + SVM,0.71,4,no
Binary,Breast Cancer,Proposed LR,0.96,100,yes
Binary,Breast Cancer,Proposed Stacking,0.95,100,yes
Binary,Breast Cancer,MUL-MGO,0.93,8.62,no
Binary,Breast Cancer,MUL-RMGO,0.93,4.92,no
Binary,Breast Cancer,MMODE(KNN k=10),0.96,32.47,no
Binary,Breast Cancer,WCLFJHEF(SVC),0.99,25,no
Binary,Breast Cancer,WCLFJHEF(NB),0.91,25,no
Binary,Breast Cancer,CEFS(Voting),0.97,71,no
Binary,Breast Cancer,Iso-GA + SVM,0.82,51.4,no
Binary,Colon Tumor,Proposed LR,0.90,200,yes
Binary,Colon Tumor,Proposed Stacking,0.90,200,yes
Binary,Colon Tumor,AltWOA,1.00,21,no
Binary,Colon Tumor,IG-SGA,0.85,60,no
Binary,Colon Tumor,TRF-WGHC,0.95,4,no
Binary,Colon Tumor,PGSS + LR,0.77,12.8,no
Binary,Colon Tumor,PGSS + Deep Learning,0.82,12.8,no
Binary,Colon Tumor,WCLFJHEF(SVC),0.89,25,no
Binary,Colon Tumor,WCLFJHEF(NB),0.88,25,no
Binary,Colon Tumor,CEFS(voting),0.95,11,no
Binary,Colon Tumor,KL-IBPSO-ELM,0.97,14,no
Binary,Colon Tumor,ILRC + SVM,0.87,,no
Binary,Colon Tumor,ILRC + NN,0.88,,no
Binary,Colon Tumor,Iso-GA + SVM,0.82,11.8,no
Binary,Gastric Cancer,Proposed LR,1.00,100,yes
Binary,Gastric Cancer,Proposed Stacking,0.99,100,yes
Binary,Gastric Cancer,ILRC + SVM,0.92,,no
Binary,Gastric Cancer,ILRC + NN,0.93,,no
Binary,Leukemia,Proposed LR,0.98,5,yes
Binary,Leukemia,Proposed Stacking,0.97,5,yes
Binary,Leukemia,AltWOA,1.00,30,no
Binary,Leukemia,IG-SGA,0.97,3,no
Binary,Leukemia,MUL-MGO,1.00,3.70,no
Binary,Leukemia,MUL-RMGO,1.00,2.00,no
Binary,Leukemia,TRF-WGHC,0.95,3,no
Binary,Leukemia,WCLFJHEF(SVC),0.99,25,no
Binary,Leukemia,WCLFJHEF(NB),0.98,25,no
Binary,Leukemia,MMODE(KNN k=10),1.00,3,no
Binary,Leukemia,Multidimensional GNN,0.98,4,no
Binary,Leukemia,KL-IBPSO-ELM,1.00,8,no
Binary,Leukemia,CEFS(Voting),0.98,64,no
Binary,Leukemia,ILRC + SVM,0.98,,no
Binary,Leukemia,ILRC + NN,0.97,,no
Binary,Leukemia,Iso-GA + SVM,1.00,43.2,no
Binary,Lung Cancer,Proposed LR,1.00,150,yes
Binary,Lung Cancer,Proposed Stacking,1.00,150,yes
Binary,Lung Cancer,MMODE(KNN k=10),1.00,3,no
Binary,Lung Cancer,TRF-WGHC,0.99,3,no
Binary,Lung Cancer,PGSS + LR,0.98,14.8,no
Binary,Lung Cancer,PGSS + Deep Learning,0.99,14.8,no
Binary,Lung Cancer,KL-IBPSO-ELM,0.95,11,no
Binary,Lymphoma,Proposed LR,0.97,100,yes
Binary,Lymphoma,Proposed Stacking,1.00,100,yes
Binary,Lymphoma,AltWOA,1.00,22,no
Binary,Lymphoma,IG-SGA,0.94,110,no
Binary,Lymphoma,MMODE(KNN k=10),1.00,,no
Binary,Lymphoma,TRF-WGHC,0.93,4,no
Binary,Lymphoma,PGSS + LR,0.88,31.2,no
Binary,Lymphoma,PGSS + Deep Learning,0.97,31.2,no
Binary,Lymphoma,Multidimensional GNN,0.97,3,no
Binary,Lymphoma,KL-IBPSO-ELM,0.92,8,no
Binary,Lymphoma,CEFS(Voting),0.97,18,no
Binary,Lymphoma,MGWO-R(KNN),0.97,13.5,no
Binary,Lymphoma,MGWO-C(KNN),0.98,10.3,no
Binary,Lymphoma,ILRC + SVM,0.95,,no
Binary,Lymphoma,ILRC + NN,0.97,,no
